중앙선거관리위원회 선거통계시스템,,,,,
사전투표율 변동추이,,,,,
,,,,,
시도명,"6회 동시지방선거
(2014.06.04)","20대 국회의원선거
(2016.04.13)",,"19대 대통령선거
(2017.05.09)","7회 동시지방선거
(2018.06.13)"
합계,11.49,12.19,,26.06,20.14
서울특별시,11.14,11.61,,26.09,19.10
부산광역시,8.90,9.83,,23.19,17.16
대구광역시,8.00,10.13,,22.28,16.43
인천광역시,11.33,10.81,,24.38,17.58
광주광역시,13.28,15.75,,33.67,23.65
대전광역시,11.20,12.94,,27.52,19.66
울산광역시,10.70,11.98,,26.69,21.48
세종특별자치시,15.12,16.85,,34.48,24.75
경기도,10.31,11.16,,24.92,17.47
강원도,14.24,13.36,,25.35,22.26
충청북도,13.31,12.85,,25.45,20.75
충청남도,11.93,12.13,,24.18,19.55
전라북도,16.07,17.32,,31.64,27.81
전라남도,18.05,18.85,,34.04,31.73
경상북도,13.11,14.07,,27.25,24.46
경상남도,11.89,12.19,,26.83,23.83
제주특별자치도,11.06,10.70,,22.43,22.24
,,,,,
