중앙선거관리위원회 선거통계시스템,,,,,,,,,
투표율 변동추이,,,,,,,,,
,,,,,,,,,
시도명,"5회 동시지방선거
(2010.06.02)","19대 국회의원선거
(2012.04.11)","18대 대통령선거
(2012.12.19)",,"6회 동시지방선거
(2014.06.04)","20대 국회의원선거
(2016.04.13)","19대 대통령선거
(2017.05.09)","7회 동시지방선거
(2018.06.13)",
합계,54.5,54.2,75.8,,56.8,58.0,77.2,60.2,
서울특별시,53.9,55.5,75.1,,58.6,59.8,78.6,59.9,
부산광역시,49.5,54.6,76.2,,55.6,55.4,76.7,58.8,
대구광역시,45.9,52.3,79.7,,52.3,54.8,77.4,57.3,
인천광역시,50.9,51.4,74.0,,53.7,55.6,75.6,55.3,
광주광역시,49.8,52.7,80.4,,57.1,61.6,82.0,59.2,
대전광역시,52.9,54.2,76.5,,54.0,58.6,77.5,58.0,
울산광역시,55.1,55.7,78.4,,56.1,59.2,79.2,64.8,
세종특별자치시,0.0,59.2,74.1,,62.7,63.5,80.7,61.7,
경기도,51.8,52.6,75.0,,53.3,57.5,77.1,57.8,
강원도,62.3,55.7,73.8,,62.2,57.7,74.3,63.2,
충청북도,58.8,54.6,75.0,,58.8,57.3,74.8,59.3,
충청남도,56.5,52.4,72.9,,55.7,55.5,72.4,58.1,
전라북도,59.3,53.6,77.0,,59.9,62.9,79.0,65.2,
전라남도,64.3,56.7,76.5,,65.6,63.7,78.8,69.2,
경상북도,59.4,56.0,78.2,,59.5,56.7,76.1,64.7,
경상남도,61.8,57.2,77.0,,59.8,57.0,77.8,65.8,
제주특별자치도,65.1,54.7,73.3,,62.8,57.2,72.3,65.9,
,,,,,,,,,
