"신혼부부 특성별(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"신혼부부 특성별(1)",보유 부부 비율 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),대출잔액 중앙값 (만원),보유 부부 비율 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),대출잔액 중앙값 (만원),보유 부부 비율 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),금융권 대출잔액 구간별 (%),대출잔액 중앙값 (만원)
"신혼부부 특성별(1)",소계,합계,1000만원미만,1000~3000만원 미만,3000~5000만원 미만,5000~7000만원 미만,7000~10000만원 미만,10000~20000만원 미만,20000~30000만원 미만,30000만원 이상,소계,소계,합계,1000만원미만,1000~3000만원 미만,3000~5000만원 미만,5000~7000만원 미만,7000~10000만원 미만,10000~20000만원 미만,20000~30000만원 미만,30000만원 이상,소계,소계,합계,1000만원미만,1000~3000만원 미만,3000~5000만원 미만,5000~7000만원 미만,7000~10000만원 미만,10000~20000만원 미만,20000~30000만원 미만,30000만원 이상,소계
"전국",82.2,100.0,9.7,15.6,12.4,10.3,12.6,25.4,8.1,5.7,7375,83.4,100.0,8.3,13.8,11.2,10.0,11.8,26.8,9.9,8.1,8625,84.9,100.0,7.7,12.7,10.2,8.9,11.7,28.4,11.0,9.4,9684
"혼인1년차",81.0,100.0,11.1,17.2,12.7,10.0,13.2,24.9,6.7,4.2,6695,83.3,100.0,9.9,14.7,11.8,9.9,12.1,27.4,8.1,5.9,7850,84.6,100.0,8.6,13.2,9.9,8.4,12.1,30.5,9.5,7.8,9446
"혼인2년차",81.1,100.0,10.8,16.1,13.0,10.7,13.2,24.3,6.9,4.8,6802,83.4,100.0,8.7,14.0,11.8,10.8,12.3,26.6,9.0,6.8,8048,85.3,100.0,7.6,13.6,10.3,9.6,12.2,28.2,10.5,8.1,9090
"혼인3년차",82.2,100.0,8.9,15.5,12.3,10.5,12.7,25.4,8.8,5.8,7608,82.6,100.0,8.5,14.2,10.7,9.8,12.3,26.7,9.7,8.1,8570,84.7,100.0,7.6,12.3,10.8,9.1,11.6,28.4,10.8,9.4,9554
"혼인4년차",83.2,100.0,9.1,15.0,12.3,10.0,12.5,25.7,8.7,6.6,7778,83.7,100.0,7.5,13.0,11.1,9.7,11.2,27.3,10.4,9.8,9194,84.7,100.0,7.2,13.1,10.3,8.8,11.6,27.3,11.4,10.4,9755
"혼인5년차",83.6,100.0,8.8,14.3,11.7,10.5,11.7,26.8,9.2,7.0,8036,84.1,100.0,7.2,13.2,10.8,9.6,11.3,26.2,12.1,9.7,9500,85.1,100.0,7.4,11.5,9.9,8.3,11.2,28.1,12.5,11.1,10302
"서울특별시",80.0,100.0,9.5,12.9,11.4,9.5,12.5,26.0,9.7,8.5,8408,81.2,100.0,7.3,11.6,9.6,9.1,10.6,27.5,12.5,11.9,10221,83.4,100.0,5.9,11.1,8.3,8.0,9.9,29.5,13.6,13.6,11744
"부산광역시",81.3,100.0,9.7,15.8,11.9,9.0,12.9,26.8,7.9,6.0,7802,84.2,100.0,9.0,13.1,10.8,8.9,12.5,26.6,9.7,9.3,9005,84.9,100.0,7.9,11.6,10.8,8.0,10.8,29.4,10.4,11.1,10021
"대구광역시",80.9,100.0,11.7,14.5,12.0,10.6,10.6,25.9,9.1,5.6,7183,83.0,100.0,9.2,13.9,10.4,10.5,12.1,26.8,8.5,8.6,8725,83.4,100.0,8.0,12.4,9.8,10.1,14.0,27.3,9.2,9.3,9000
"인천광역시",85.4,100.0,9.7,14.3,11.7,10.0,12.2,28.7,8.5,5.0,7976,86.1,100.0,7.1,14.0,10.9,9.1,11.9,29.8,9.5,7.6,9143,86.3,100.0,7.3,12.2,10.4,8.7,12.0,30.1,11.1,8.3,9854
"광주광역시",81.8,100.0,11.4,16.2,14.6,10.8,12.1,21.7,8.2,5.0,6400,83.9,100.0,9.2,14.0,12.2,10.8,12.7,25.4,9.7,6.1,7967,84.5,100.0,7.1,12.6,10.3,9.5,12.6,30.7,9.6,7.6,9500
"대전광역시",79.5,100.0,9.6,17.2,14.5,11.0,14.3,22.9,7.0,3.5,6430,82.3,100.0,9.1,15.8,14.3,12.0,13.8,21.4,7.5,6.1,6788,82.4,100.0,10.2,14.2,11.3,11.6,11.6,26.9,8.2,6.0,7666
"울산광역시",81.4,100.0,9.3,13.3,11.6,9.7,13.4,28.2,9.0,5.5,8306,82.8,100.0,7.5,12.3,10.0,9.5,10.8,30.5,11.1,8.3,9972,83.7,100.0,7.6,11.6,9.1,9.4,11.8,31.3,11.7,7.4,10000
"세종특별자치시",85.4,100.0,6.6,10.9,9.3,7.8,12.7,32.9,11.3,8.6,10525,87.5,100.0,5.0,10.2,8.5,9.2,10.9,30.5,14.4,11.3,11546,85.9,100.0,5.2,9.0,9.0,8.7,11.5,31.6,14.5,10.5,11826
"경기도",84.5,100.0,8.3,14.6,11.4,10.3,12.9,27.3,9.1,6.1,8151,85.0,100.0,7.4,12.4,10.4,9.7,12.0,28.7,11.5,7.9,9543,87.8,100.0,7.2,11.3,9.8,7.6,11.8,29.5,12.8,10.1,10460
"강원도",80.5,100.0,13.5,24.1,15.0,10.0,13.0,16.9,4.0,3.5,4482,82.1,100.0,12.2,19.4,13.2,10.7,12.5,21.2,5.8,4.9,5880,82.9,100.0,9.4,17.4,13.8,10.6,12.9,24.4,6.5,5.0,6803
"충청북도",82.3,100.0,10.5,18.0,14.1,11.6,13.1,22.4,6.3,4.0,6105,82.0,100.0,8.6,16.2,14.0,12.3,12.7,24.8,7.1,4.2,6760,83.2,100.0,8.2,15.0,12.7,10.0,12.8,28.0,7.5,5.9,7800
"충청남도",84.2,100.0,9.0,16.1,12.9,10.7,14.5,26.1,6.9,3.8,7271,85.0,100.0,9.8,14.0,12.7,11.3,11.4,27.0,8.6,5.2,7400,84.5,100.0,8.2,13.9,11.9,10.1,12.8,28.2,8.5,6.4,8500
"전라북도",80.3,100.0,11.2,20.8,15.0,11.9,11.9,20.4,5.2,3.6,5497,84.4,100.0,10.0,18.8,12.7,12.7,12.0,22.3,5.8,5.8,6245,82.8,100.0,9.2,16.8,11.7,11.3,12.7,24.6,7.8,5.8,7173
"전라남도",81.4,100.0,12.8,21.0,14.7,13.0,11.7,19.1,4.5,3.1,5098,80.9,100.0,9.9,19.3,15.5,10.2,12.8,21.7,6.1,4.5,6000,83.2,100.0,9.9,17.1,12.3,12.2,13.0,22.6,6.9,6.0,6700
"경상북도",79.1,100.0,11.9,19.7,14.2,11.5,12.2,20.9,5.1,4.5,5581,80.7,100.0,10.4,16.4,13.5,11.0,11.5,24.1,6.8,6.3,6710,82.1,100.0,10.8,17.1,12.0,10.0,10.6,26.3,6.9,6.3,7000
"경상남도",83.0,100.0,9.6,16.7,13.3,10.8,12.8,25.8,6.7,4.3,6891,83.5,100.0,8.7,15.0,12.4,10.0,12.4,26.6,7.9,7.0,7923,83.7,100.0,8.3,13.4,11.0,10.1,13.8,26.6,9.4,7.5,8401
"제주특별자치도",80.2,100.0,13.3,21.4,14.6,10.1,9.3,19.0,6.9,5.3,5000,83.7,100.0,12.0,21.0,12.2,8.9,10.1,18.8,7.5,9.5,5937,83.3,100.0,10.8,18.3,11.0,9.4,10.4,21.5,8.5,10.1,7000
"맞벌이",84.3,100.0,6.8,13.0,11.8,10.5,13.3,27.9,9.5,7.3,8750,85.8,100.0,5.6,11.1,10.0,9.8,12.2,28.8,12.0,10.4,10152,87.4,100.0,5.0,10.1,9.0,8.5,11.8,30.5,12.9,12.2,11480
"외벌이",82.4,100.0,10.5,16.6,13.0,10.6,12.7,24.5,7.4,4.7,6831,83.5,100.0,8.9,14.9,12.0,10.4,11.9,26.6,8.7,6.6,7920,84.8,100.0,8.5,13.8,11.1,9.4,12.0,28.3,9.6,7.4,8691
"미상",72.4,100.0,20.6,23.5,11.9,8.0,9.4,17.9,4.9,3.9,3784,72.4,100.0,19.6,21.7,13.0,8.2,9.1,18.1,6.0,4.4,4198,72.4,100.0,19.1,22.1,13.1,8.0,10.0,16.1,7.3,4.3,4208
"무자녀",81.0,100.0,9.7,15.2,12.9,10.9,13.3,25.5,7.6,4.8,7200,82.7,100.0,8.3,13.8,11.4,10.7,12.3,27.6,9.3,6.6,8282,83.8,100.0,7.4,12.5,10.2,8.5,12.5,29.8,10.7,8.4,9706
"유자녀",82.9,100.0,9.7,15.8,12.1,10.1,12.3,25.4,8.4,6.2,7495,83.8,100.0,8.3,13.8,11.2,9.6,11.5,26.5,10.2,8.9,8800,85.5,100.0,7.8,12.8,10.3,9.1,11.3,27.6,11.1,10.0,9648
"주택무소유",78.7,100.0,14.5,21.6,15.2,11.1,12.1,18.5,4.7,2.4,4784,79.8,100.0,12.1,19.5,13.9,11.2,11.4,21.2,6.6,4.1,5675,81.9,100.0,11.5,17.5,12.8,9.8,12.2,23.9,7.5,5.0,6582
"주택유소유",86.7,100.0,4.2,8.7,9.2,9.4,13.3,33.5,12.0,9.6,11054,87.9,100.0,4.0,7.5,8.2,8.6,12.3,33.2,13.6,12.6,12251,88.6,100.0,3.4,7.3,7.4,7.8,11.2,33.6,14.9,14.4,13318
